date,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,weight
2019-01-07,306.5,22.0,7.2,3.9,8.8,0.1,581.0,415.0,286.0,1.1,0.0,0.6,24.1,16.2,0.0,8.4,16.6,216.8
2019-01-08,994.5,38.1,16.0,3.9,10.1,0.1,663.7,1397.0,558.0,74.6,3.3,13.5,93.5,20.4,1.8,53.6,63.6,245.4602290891548
2019-01-09,570.0,34.0,13.0,0.0,0.0,0.0,250.0,1270.0,0.0,47.0,2.0,15.0,19.0,8.0,0.0,20.0,15.0,246.30336808529532
2019-01-10,430.0,9.5,4.0,0.0,0.0,0.0,65.0,230.0,190.0,27.0,2.0,17.0,59.0,0.0,0.0,23.0,6.0,245.41074625664154
2019-01-12,486.5,26.5,9.7,3.9,8.8,0.1,596.0,505.0,456.0,25.1,1.0,19.6,36.1,16.2,0.0,23.4,16.6,245.90561758750675
2019-01-13,1128.4,53.0,17.4,1.9,3.7,0.0,522.0,1421.4,145.5,62.8,1.0,37.6,97.1,10.8,2.0,25.6,20.7,245.1889316588287
2019-01-14,1097.8,56.2,22.3,2.5,4.6,0.0,534.0,465.8,180.5,64.2,4.6,1.2,80.0,10.8,1.0,14.0,40.7,246.45660905640872
2019-01-15,750.0,38.0,15.5,0.0,0.0,0.0,265.0,1365.0,180.0,70.0,2.5,33.0,30.0,8.0,0.0,35.0,15.0,245.84017110920928
2019-01-16,450.0,10.0,5.5,0.0,0.0,0.0,95.0,375.0,260.0,32.0,0.0,26.0,61.0,0.0,0.0,31.0,4.0,246.54649269524526
2019-01-17,405.0,11.0,5.3,0.0,0.0,0.0,80.0,260.0,0.0,6.0,0.0,4.0,70.0,0.0,0.0,16.0,4.0,245.91468953130223
2019-01-18,334.2,14.5,1.1,3.6,9.0,0.0,5.0,50.2,369.6,32.5,5.6,23.0,21.3,0.0,0.0,33.9,9.6,245.55446644587556
2019-01-19,160.0,5.0,1.0,0.5,2.5,0.0,15.0,250.0,770.0,9.0,5.0,0.0,25.0,35.0,35.0,35.0,4.0,245.30373365940144
2019-01-20,634.0,32.3,11.4,2.0,6.7,0.0,126.0,694.0,158.0,24.0,3.0,15.0,63.5,0.0,0.0,20.0,16.0,245.52013051649888
2019-01-22,890.3,72.6,28.0,3.3,6.4,0.1,731.0,1918.5,241.5,13.3,0.0,0.6,42.0,18.9,0.0,9.8,19.0,246.87429775759972
2019-01-27,503.0,39.5,13.1,1.9,3.7,0.0,442.0,1162.0,138.0,6.7,0.0,0.4,24.6,10.8,0.0,9.6,13.7,246.54955639679534
2019-01-28,694.5,28.3,11.0,2.9,5.5,0.1,668.0,1208.0,207.0,29.1,0.0,4.6,78.8,16.2,0.0,30.4,29.6,246.53827628456742
2019-01-29,487.1,18.1,5.8,1.7,4.5,0.0,80.0,260.1,103.9,9.1,1.8,4.6,73.0,0.0,0.0,19.8,6.9,245.22896853839478
2019-01-30,608.1,20.1,8.1,1.7,7.0,0.0,115.0,431.1,463.9,21.1,1.8,15.6,84.0,6.0,2.0,49.8,6.9,246.16382058805584
2019-01-31,472.1,18.1,7.5,1.7,7.0,0.0,115.0,380.1,463.9,21.1,1.8,15.6,59.0,6.0,2.0,49.8,6.9,247.0
