date,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,weight
2019-01-07,429.0,20.1,7.5,0.8,8.8,0.0,123.8,123.0,693.0,27.0,4.0,6.0,33.4,377.0,5.0,5.3,17.8,216.8
2019-01-08,805.0,24.0,8.0,1.0,3.0,0.0,76.0,1062.0,50.0,72.0,15.0,6.0,53.0,4.0,2.0,4.0,4.0,246.29636643336806
2019-01-09,647.0,12.4,6.0,1.0,3.0,0.0,90.0,460.0,50.0,20.0,1.0,7.0,100.4,4.0,2.0,20.0,8.0,245.20991790104594
2019-01-10,383.4,27.2,10.3,0.0,0.0,0.0,0.0,847.6,780.3,16.0,1.4,10.3,18.0,3.2,56.2,6.2,23.1,245.9079548424967
2019-01-12,319.0,2.2,0.0,0.0,0.0,0.0,0.0,35.0,0.0,8.0,3.0,3.0,48.8,0.0,0.0,0.0,0.0,245.98228319412783
2019-01-13,448.8,17.4,5.6,2.0,1.0,0.0,118.0,1685.0,784.0,25.0,1.0,4.0,44.8,0.0,0.0,0.0,26.6,245.39912751314316
2019-01-14,316.2,1.8,0.0,0.0,0.0,0.0,0.0,1.8,0.0,4.8,1.2,1.2,49.2,12.0,72.0,2.4,2.4,245.54889580727763
2019-01-15,571.1,22.4,4.0,1.7,4.5,0.0,15.0,281.6,363.9,29.1,1.8,22.6,66.0,0.0,0.0,18.8,2.9,246.75523757114573
2019-01-16,244.1,14.1,0.5,1.7,4.5,0.0,0.0,82.1,103.9,3.1,1.8,0.6,27.0,0.0,0.0,3.8,2.9,245.8990232103689
2019-01-17,937.2,47.3,2.0,6.1,2.5,0.0,39.0,855.8,910.3,29.7,10.7,13.3,110.4,310.6,84.6,66.6,44.4,246.35806450246372
2019-01-18,405.0,19.5,3.8,0.0,0.0,0.0,105.0,1590.0,0.0,15.0,1.5,1.5,42.0,0.0,3.0,3.0,12.0,246.65778438278227
2019-01-19,600.0,36.0,4.0,0.0,0.0,0.0,0.0,420.0,0.0,60.0,8.0,32.0,20.0,0.0,0.0,16.0,24.0,246.2220461201089
2019-01-20,614.9,27.0,9.2,1.2,5.2,0.2,76.5,1919.1,354.8,42.5,3.1,3.0,34.7,6.8,5.0,31.6,10.9,246.3000087809354
2019-01-22,456.0,25.5,8.5,1.4,7.9,0.0,98.0,870.0,341.0,37.0,2.0,5.0,35.0,20.0,4.0,8.0,8.0,245.13257117395048
2019-01-27,359.5,8.5,0.0,0.3,0.0,0.0,0.0,147.3,98.5,22.5,1.2,1.8,47.8,59.3,16.8,0.5,6.0,245.88813132490634
2019-01-28,259.5,9.1,3.3,0.0,0.0,0.0,0.0,68.3,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,246.60105068416686
2019-01-29,251.4,4.8,1.1,0.0,0.0,0.0,0.0,78.3,0.0,3.6,1.2,0.6,41.4,1.2,6.6,2.7,3.3,246.38361972482903
2019-01-30,552.0,18.0,7.7,1.0,3.0,0.0,10.0,892.0,50.0,22.0,3.0,6.0,68.0,8.0,17.0,6.0,10.0,246.986702309109
2019-01-31,295.1,14.1,0.5,1.7,4.5,0.0,0.0,83.6,103.9,15.1,7.8,3.6,30.0,22.5,45.0,9.8,11.9,247.0
