date,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,weight
2019-01-07,385.5,11.7,3.9,0.0,0.0,0.0,0.0,113.5,0.0,30.0,2.0,2.0,30.5,20.0,120.0,4.0,12.8,216.8
2019-01-08,579.3,11.9,2.8,0.0,0.0,0.0,2.8,351.5,0.0,71.3,0.6,28.7,40.1,0.0,0.0,2.2,3.3,246.1902306325299
2019-01-09,709.5,24.0,4.2,12.0,5.9,0.2,79.5,655.5,301.5,88.0,3.4,20.0,24.5,21.5,123.0,5.5,15.0,246.74837528917172
2019-01-10,651.8,38.2,14.2,8.5,5.9,0.0,121.7,1864.4,497.9,69.5,11.7,8.0,55.5,27.8,19.2,6.5,23.3,246.20296840091657
2019-01-12,544.0,28.2,7.4,4.2,0.0,0.0,190.0,252.0,468.2,14.4,0.6,6.6,54.8,1.9,0.0,5.6,15.6,246.11000570454397
2019-01-13,162.0,7.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,245.43425026003638
2019-01-14,758.0,30.2,13.0,0.0,0.0,1.8,108.0,1936.0,0.0,79.0,2.8,23.8,42.4,0.0,3.6,14.4,45.0,245.083863489164
2019-01-15,806.5,12.3,5.5,0.0,0.0,0.0,95.0,375.0,260.0,32.0,0.0,26.0,120.8,0.0,0.0,31.0,4.0,246.90996188534123
2019-01-16,666.8,20.0,6.8,0.7,1.8,0.0,0.0,318.1,41.6,68.0,3.9,35.4,53.6,8.0,4.0,26.3,18.0,245.68345018858383
2019-01-17,732.1,40.1,14.5,1.7,4.5,1.0,90.0,1470.1,103.9,66.1,3.8,17.6,27.0,4.0,9.0,11.8,18.9,246.59889939242535
2019-01-18,536.0,12.7,0.0,0.0,0.0,0.0,0.0,695.0,262.5,5.7,0.0,0.6,89.2,102.5,23.8,2.5,3.8,245.25336544245306
2019-01-19,705.0,42.8,15.0,0.0,0.0,0.8,281.3,1845.0,0.0,51.0,5.3,3.8,28.5,0.0,0.0,0.0,0.0,246.0708185641554
2019-01-20,283.0,1.7,0.4,0.4,0.3,0.0,125.9,1186.4,814.0,25.4,0.5,19.5,41.8,2.5,0.0,9.0,3.0,246.89524454098338
