date,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,weight
2019-01-07,765.0,13.5,5.5,2.0,2.3,0.0,97.5,980.0,460.0,99.0,9.0,33.5,64.0,3.0,1.0,45.0,50.0,216.8
2019-01-08,272.0,4.8,2.5,0.0,1.3,0.0,17.5,420.5,185.5,52.2,1.5,17.1,7.1,3.0,1.0,30.0,45.0,245.64892864254148
2019-01-09,321.2,9.0,2.8,1.0,4.0,0.0,17.5,420.6,247.8,54.0,2.6,17.5,8.9,3.0,1.0,32.3,46.8,246.17223475216883
2019-01-10,798.0,26.9,5.9,0.5,2.6,0.0,92.4,433.0,653.7,54.4,8.4,9.0,85.5,5.5,31.0,6.1,23.6,245.86851973071475
2019-01-12,743.1,18.3,5.5,2.7,7.5,0.0,30.0,200.1,153.9,34.1,4.8,3.6,98.2,4.0,2.0,7.8,6.9,245.97272277213438
2019-01-13,920.0,36.0,22.0,1.0,3.0,0.0,120.0,405.0,240.0,71.0,5.0,45.0,80.0,22.0,2.0,27.0,6.0,245.8101965095796
2019-01-14,1000.0,21.1,11.8,1.0,3.0,0.0,130.0,612.5,400.0,72.3,4.5,43.5,129.0,4.0,2.0,48.0,7.5,245.53317590074565
2019-01-16,190.0,8.0,4.0,1.0,3.0,0.0,10.0,200.0,50.0,14.0,1.0,3.0,16.0,4.0,2.0,4.0,4.0,245.609763921992
2019-01-17,775.0,38.6,18.8,6.6,6.1,0.0,178.7,632.5,180.5,79.3,2.3,44.3,32.2,7.3,3.2,6.2,7.3,245.96017328820272
2019-01-18,1522.5,70.5,31.9,9.5,8.1,0.0,481.0,1413.3,1401.8,133.4,6.7,95.0,96.0,53.1,33.7,110.5,55.1,246.4931969560996
2019-01-19,100.0,0.0,0.0,0.0,0.0,0.0,5.0,65.0,0.0,14.0,5.0,6.0,12.0,2.0,2.0,15.0,2.0,245.92014149164575
2019-01-20,510.0,18.5,6.0,0.0,1.0,0.0,50.0,840.0,1241.0,31.0,10.0,14.0,61.0,25.0,25.0,56.0,44.0,246.33564293903785
2019-01-27,970.0,40.0,18.0,0.0,0.0,0.0,135.0,780.0,631.0,141.0,17.0,75.0,43.0,6.0,4.0,51.0,20.0,245.5843530778561
2019-01-28,1016.2,53.3,13.6,6.2,16.4,0.0,30.0,315.4,496.7,62.2,11.3,21.8,80.0,4.0,4.0,18.4,18.7,245.12822462392512
